iter	RMSE
0	18.28125049
1	18.25775218
2	18.23558465
3	18.21362212
4	18.19187091
5	18.17198339
6	18.15368238
7	18.13386246
8	18.11705178
9	18.10258231
10	18.09004501
11	18.07657649
12	18.06766214
13	18.05366844
14	18.0410954
15	18.02605076
16	18.01303363
17	18.00337277
18	17.98937193
19	17.97761154
20	17.9672601
21	17.95744662
22	17.94648088
23	17.93774308
24	17.92762172
25	17.91911452
26	17.91058982
27	17.90009996
28	17.89088628
29	17.88209298
30	17.87455172
31	17.86728033
32	17.86101779
33	17.85247863
34	17.8453862
35	17.8389611
36	17.83284392
37	17.82706391
38	17.82209311
39	17.81591295
40	17.81173448
41	17.80783467
42	17.8036719
43	17.79862353
44	17.79743779
45	17.79240812
46	17.78582796
47	17.78275464
48	17.77851907
49	17.7746144
50	17.77010287
51	17.76611645
52	17.76044472
53	17.75623796
54	17.75209652
55	17.74724015
56	17.74330009
57	17.74088937
58	17.73779007
59	17.7348718
60	17.73342393
61	17.7325349
62	17.72858112
63	17.72484193
64	17.72145342
65	17.71858293
66	17.71370474
67	17.71221577
68	17.70891067
69	17.70423221
70	17.6995264
71	17.69638513
72	17.69420135
73	17.69028886
74	17.68675276
75	17.68352918
76	17.68284308
77	17.68103242
78	17.67801963
79	17.67398107
80	17.67132983
81	17.67029209
82	17.66712583
83	17.6619586
84	17.65890322
85	17.65609481
86	17.65408415
87	17.65151834
88	17.64863593
89	17.64438763
90	17.63955707
91	17.63651792
92	17.63417065
93	17.63275414
94	17.62832588
95	17.62568695
96	17.62305001
97	17.61930769
98	17.61795463
99	17.61540338
100	17.6144549
101	17.61158677
102	17.61022738
103	17.60761581
104	17.6060766
105	17.60266916
106	17.60224572
107	17.59996487
108	17.59745804
109	17.59532702
110	17.59281728
111	17.5899062
112	17.5884186
113	17.58459748
114	17.58183455
115	17.57896411
116	17.57621433
117	17.57312004
118	17.57053322
119	17.56842819
120	17.56675256
121	17.56541975
122	17.56332089
123	17.56230165
124	17.56143873
125	17.55907983
126	17.55646133
127	17.55517181
128	17.55367909
129	17.55139246
130	17.54898099
131	17.5466496
132	17.54377702
133	17.5410294
134	17.53872797
135	17.53815266
136	17.53741647
137	17.5347506
138	17.53444595
139	17.53298756
140	17.53210406
141	17.53028191
142	17.52931708
143	17.52777285
144	17.52533322
145	17.52456644
146	17.52344836
147	17.52111246
